image_id,stone_id,stone_count_in_image,volume_voxels,volume_mm3,surface_area_mm2,equivalent_diameter_mm,max_feret_diameter_mm,major_axis_length_mm,minor_axis_length_mm,axis_ratio_major_minor,bbox_length_x_mm,bbox_length_y_mm,bbox_length_z_mm,bbox_diagonal_mm,sphericity,compactness,centroid_x_mm,centroid_y_mm,centroid_z_mm
image_1000300280,1,1,1354,180.062,187.5303,7.0061,8.8351,7.9118,5.9171,1.3371,7.1758,6.1973,7.5,12.0892,0.8223,0.070116,107.047,89.0777,50.4911
image_1000352910,1,2,785,99.4521,128.5671,5.7483,7.5028,6.6933,4.7964,1.3955,5.7305,6.3672,6.25,10.6039,0.8074,0.068221,90.8609,58.0022,49.8264
image_1000352910,2,2,123,15.5829,32.8438,3.099,3.9077,3.4865,2.6216,1.3299,2.8652,2.8652,2.5,4.7612,0.9186,0.082788,91.9954,67.7846,50.6301
image_11,1,1,687,128.4274,142.7334,6.2597,8.0303,7.3417,5.3491,1.3725,6.1875,5.4141,6.25,10.3276,0.8624,0.075313,127.6572,86.8885,46.2536
image_12,1,2,370,71.9903,100.1667,5.1613,6.7948,6.5433,4.2122,1.5534,5.1289,5.918,5.0,9.2913,0.8355,0.071811,78.2686,80.3148,70.2838
image_12,2,2,588,114.4062,151.3341,6.0231,10.1126,10.6438,4.1968,2.5362,6.707,9.4687,3.75,12.1944,0.7531,0.061453,87.239,62.401,69.9851
image_13,1,1,282,47.022,75.3451,4.4782,6.1703,5.3208,3.5451,1.5009,4.748,4.0176,5.0,7.9803,0.8362,0.071898,79.972,96.12,57.008
image_14,1,1,462,83.7684,115.2228,5.4287,7.2892,6.4708,4.5083,1.4353,5.332,5.7129,6.25,10.0065,0.8035,0.067729,87.7624,68.8638,96.02
image_3,1,2,759,158.0899,174.7527,6.7087,8.7171,7.6227,5.6804,1.3419,7.3477,6.9395,6.25,11.883,0.8091,0.068433,122.0505,55.9475,46.39
image_3,2,2,710,147.8839,173.0691,6.5611,9.2043,7.8199,6.12,1.2778,7.3477,7.7559,6.25,12.3776,0.7814,0.064952,126.0381,63.8154,42.456
image_3200082662,1,1,172,30.8675,88.7118,3.892,15.3505,19.0962,1.976,9.6642,7.1992,10.9883,8.75,15.784,0.5364,0.036943,135.0976,99.8748,46.9695
image_3200277629,1,1,271,45.1878,75.7304,4.4192,6.0832,5.6032,3.5813,1.5646,4.3828,4.748,5.0,8.1702,0.8101,0.068567,69.1559,94.7263,57.0387
image_3200353629,1,3,147,27.7584,52.0322,3.7566,5.2591,4.9022,2.9936,1.6376,4.2754,3.498,3.75,6.6767,0.8521,0.073958,73.0148,96.8851,45.2211
image_3200353629,2,3,121,22.8487,47.8985,3.5206,5.2505,3.9985,3.1367,1.2747,3.498,3.1094,5.0,6.8487,0.813,0.068925,86.3848,81.1875,53.1405
image_3200353629,3,3,1172,221.3116,231.9327,7.5047,10.8271,10.3751,5.8335,1.7785,7.3848,10.1055,8.75,15.2715,0.7629,0.062656,88.7432,74.4105,49.9232
image_3200754229,1,1,335,57.061,87.7695,4.7765,7.2003,6.8839,3.4973,1.9683,4.0606,5.5371,5.0,8.494,0.8166,0.069394,82.703,54.3662,50.5672
image_3200774864,1,3,3980,893.6601,684.9682,11.9506,20.0105,18.1268,9.1561,1.9797,11.4434,13.5625,18.75,25.8158,0.655,0.04985,145.3298,111.0653,67.2296
image_3200774864,2,3,20,4.4908,13.6717,2.0469,3.0795,3.0564,1.4299,2.1376,1.6953,1.6953,2.5,3.4638,0.9628,0.088835,143.826,120.5791,45.6875
image_3200774864,3,3,82,18.4121,41.9712,3.2762,5.7535,5.7527,2.2951,2.5066,2.9668,4.2383,3.75,6.3896,0.8034,0.067714,148.3501,126.6109,53.7957
image_3301495619,1,1,539,79.613,109.3909,5.3374,7.0076,6.2986,4.5325,1.3897,4.8125,5.5,6.25,9.6163,0.8181,0.069584,65.139,91.0759,42.7134
image_3301515705,1,1,374,73.4908,104.0883,5.1969,7.0535,6.569,4.4055,1.4911,5.5508,5.1543,6.25,9.8204,0.8151,0.069204,127.7643,91.98,53.4893
image_3301523238,1,1,5238,747.5303,644.4173,11.2601,28.9278,27.7059,8.1832,3.3857,14.1914,17.9082,22.5,32.0679,0.6181,0.045696,56.8505,83.008,55.6484
image_3301524036,1,1,561,84.7564,116.3415,5.4499,8.5455,7.7246,4.6101,1.6756,4.5195,5.9102,6.25,9.7169,0.802,0.067541,108.1272,81.279,33.4381
image_3301528977,1,2,7,1.3891,5.2095,1.3843,1.535,1.347,0.0,,1.1953,1.1953,1.25,2.1024,1.1557,0.116825,111.5626,48.894,50.0
image_3301528977,2,2,128,25.4005,48.2965,3.6471,4.7242,3.9427,3.3948,1.1614,3.5859,3.5859,3.75,6.3072,0.8652,0.075678,113.2685,53.6615,49.3066
image_3301537260,1,1,1168,198.947,195.7798,7.2429,8.8347,7.9459,6.3766,1.2461,6.6445,7.3828,7.5,12.4461,0.8418,0.072625,125.1628,96.5339,50.8048
image_3301537463,1,1,1123,203.6189,220.0272,7.2992,11.1384,10.7115,6.0472,1.7713,7.2363,9.1406,6.25,13.2279,0.7607,0.062388,127.8302,86.474,41.5249
image_3301540048,1,1,135,25.2368,47.9165,3.6393,4.6732,4.1248,3.2403,1.273,3.4805,3.8672,3.75,6.4134,0.8683,0.076086,87.3126,55.4355,46.3981
image_3301541778,1,2,312,46.084,71.6158,4.4482,5.8438,5.2863,4.0098,1.3184,4.4688,4.4688,3.75,7.3486,0.868,0.076039,58.6149,99.5828,57.6843
image_3301541778,2,2,60,8.8623,22.3226,2.5675,3.3309,2.8132,2.1999,1.2788,2.4062,2.0625,2.5,4.0366,0.9278,0.084029,105.1703,88.5156,52.0208
image_3301546196,1,1,589,111.2223,133.7125,5.9667,7.6122,6.9582,5.1376,1.3544,5.8301,6.2188,6.25,10.57,0.8365,0.071934,108.0937,57.3723,73.8604
image_3301549498,1,2,246,50.7495,78.9219,4.5935,5.8092,4.9742,4.397,1.1313,4.4688,4.875,5.0,8.2907,0.8399,0.072383,117.2923,59.1556,46.7378
image_3301549498,2,2,279,57.5574,88.1225,4.7904,7.2727,7.0666,3.8397,1.8404,4.0625,5.6875,5.0,8.5937,0.8181,0.069578,130.1223,89.9764,40.9005
image_3301549524,1,2,485,72.4533,100.5622,5.1723,6.5153,5.8834,4.1902,1.4041,4.8398,5.1855,5.0,8.6784,0.8358,0.071847,105.2227,60.7981,41.6598
image_3301549524,2,2,858,128.1751,155.378,6.2556,9.685,9.1573,4.6084,1.9871,6.2227,7.2598,6.25,11.4231,0.7912,0.066179,111.822,69.415,45.1661
image_3301549729,1,1,4009,647.2049,459.2645,10.732,14.6213,13.9301,8.4359,1.6513,10.7812,11.8594,11.25,19.5817,0.7879,0.065758,60.5537,88.8657,69.7665
image_3301552895,1,4,71,16.3861,34.2664,3.1513,4.4065,4.1357,2.6602,1.5547,2.5781,3.0078,3.75,5.4549,0.9105,0.081691,78.4211,97.9628,60.0176
image_3301552895,2,4,63,14.5398,30.0574,3.0282,3.5394,3.0624,2.7845,1.0998,2.5781,2.5781,2.5,4.4208,0.9585,0.088233,91.7282,76.7164,63.1349
image_3301552895,3,4,729,168.2457,177.7988,6.8493,8.5254,7.9759,6.1793,1.2908,6.875,7.7344,7.5,12.7803,0.8289,0.070966,133.8723,84.0308,67.3868
image_3301552895,4,4,388,89.5464,116.7181,5.5507,7.7887,7.4575,4.1856,1.7817,5.5859,5.5859,6.25,10.0731,0.8293,0.071013,139.3208,91.8126,67.4936
image_3301552918,1,1,880,132.9512,156.1592,6.3323,8.5949,7.4698,5.321,1.4038,6.2578,6.6055,6.25,11.0388,0.8067,0.06813,113.951,94.8054,52.6619
image_3301553562,1,1,8035,1397.729,762.9126,13.8721,20.0111,19.0808,10.9075,1.7493,12.3106,15.2949,17.5,26.3008,0.7924,0.06633,122.0243,85.8201,39.9712
image_3301553804,1,1,899,145.1328,182.1226,6.5201,10.45,10.2776,5.225,1.967,5.75,8.2656,8.75,13.3396,0.7333,0.05905,111.2891,82.4052,45.1182
image_3301557543,1,1,344,61.1002,92.8602,4.8867,6.9199,6.1305,4.0246,1.5233,4.5234,6.0312,5.0,9.0464,0.8079,0.068281,101.1242,49.1266,49.5022
image_3301560272,1,1,601,114.6317,138.6978,6.027,7.9061,6.6811,5.5615,1.2013,5.8594,5.8594,7.5,11.1765,0.8228,0.070178,76.389,100.3497,59.1514
image_3301560297,1,1,608,107.9911,134.6589,5.9083,8.0572,6.9572,5.2255,1.3314,5.2773,6.4082,7.5,11.1877,0.8144,0.069109,74.155,89.163,51.949
image_3301560307,1,1,577,98.2812,122.325,5.7256,7.6784,6.9512,4.7194,1.4729,5.168,6.2754,6.25,10.2543,0.8419,0.072644,120.3329,82.9441,43.8821
image_3301560337,1,1,1567,361.6475,308.4372,8.8395,11.3779,10.5267,8.0913,1.301,9.8828,9.0234,10.0,16.7061,0.7959,0.066763,130.9224,81.95,33.6981
image_3301560465,1,3,19,3.9197,13.3872,1.9562,3.0904,3.2674,1.2,2.7228,2.0312,1.625,2.5,3.6079,0.898,0.080023,83.9868,112.0609,51.9079
image_3301560465,2,3,85,17.5354,41.258,3.2233,5.1098,4.6309,2.624,1.7648,2.8438,4.0625,3.75,6.2172,0.7911,0.066169,85.5993,107.5654,59.7941
image_3301560465,3,3,886,182.7808,200.9022,7.0412,9.416,9.4743,5.7177,1.657,7.7188,8.125,7.5,13.485,0.7753,0.064188,89.6873,103.5621,64.4766
image_3301560611,1,3,505,85.1096,112.3316,5.4575,7.0028,6.1624,4.9779,1.2379,5.1406,5.5078,6.25,9.789,0.833,0.071487,97.4393,69.4,44.0248
image_3301560611,2,3,984,165.8372,177.6567,6.8165,9.3852,8.8559,5.4318,1.6304,7.3438,7.7109,6.25,12.3471,0.8217,0.070034,101.8756,74.7728,42.3526
image_3301560611,3,3,2218,373.8079,304.6023,8.9375,10.9226,10.1867,7.8852,1.2919,8.4453,9.1797,8.75,15.2366,0.8239,0.070315,112.7593,85.4715,41.3655
image_3301560835,1,1,111,32.2914,53.3096,3.9509,4.8584,4.3239,3.57,1.2112,3.8594,3.8594,3.75,6.6221,0.9199,0.082962,126.1164,91.495,94.955
image_3301563552,1,4,218,39.1228,66.4199,4.2119,6.158,5.6347,3.5808,1.5736,3.7891,4.5469,5.0,7.748,0.8391,0.072274,66.2981,83.0256,26.9266
image_3301563552,2,4,85,15.2543,34.0158,3.077,4.2014,3.3991,2.7933,1.2169,3.0312,2.6523,3.75,5.5033,0.8744,0.07689,67.2536,78.4202,38.3382
image_3301563552,3,4,281,50.4289,76.7309,4.5838,5.9686,5.6779,3.8412,1.4781,4.5469,3.7891,5.0,7.748,0.8603,0.075028,67.9819,81.9704,44.6441
image_3301563552,4,4,2207,396.0731,424.0541,9.1115,17.7646,19.3998,5.8018,3.3438,9.8516,9.8516,17.5,22.3686,0.6151,0.045357,74.0173,74.4108,54.3283
image_3301563565,1,1,4016,750.7489,522.1172,11.2763,18.1437,16.965,8.5201,1.9912,13.1484,15.082,11.25,22.9546,0.7651,0.062928,112.388,68.6302,42.3556
image_3301563570,1,3,97,16.0017,35.0009,3.1265,4.2576,4.2384,2.5831,1.6408,2.543,3.9961,2.5,5.3559,0.8774,0.077277,78.8732,59.5107,54.1753
image_3301563570,2,3,168,27.7143,55.5512,3.7546,5.9311,6.081,2.8273,2.1508,3.6328,5.0859,3.75,7.2888,0.7972,0.066937,81.176,52.5957,52.9836
image_3301563570,3,3,197,32.4984,58.6003,3.9593,5.2211,4.7729,3.267,1.461,4.3594,4.3594,3.75,7.216,0.8404,0.072445,83.1047,46.7674,52.4302
image_3301563583,1,1,503,77.7109,106.4658,5.2945,6.7283,5.9744,4.7657,1.2536,5.625,5.2734,5.0,9.1896,0.8272,0.07074,83.0266,53.0908,47.1521
image_3301563635,1,2,3624,712.114,472.3087,11.0794,13.7687,12.8832,9.746,1.3219,9.9121,11.8945,12.5,19.8992,0.8165,0.069376,79.8311,91.0715,57.8308
image_3301563635,2,2,2213,434.8533,353.2833,9.3997,11.8749,10.8141,8.1923,1.32,9.9121,10.3086,10.0,17.4504,0.7857,0.065487,87.6941,79.1089,57.8722
image_3301570138,1,4,17,3.0824,10.8231,1.8056,2.775,2.4192,1.2201,1.9828,1.9043,1.1426,2.5,3.3439,0.9464,0.086569,77.8297,82.6016,41.5441
image_3301570138,2,4,8,1.4505,5.3789,1.4045,1.6501,1.4751,0.0,125213085.2573,1.1426,1.1426,1.25,2.0429,1.1521,0.116276,79.9328,80.028,45.0
image_3301570138,3,4,500,90.6585,156.3577,5.5736,13.7153,14.2898,3.6456,3.9197,6.4746,9.9023,8.75,14.7153,0.6242,0.046369,98.7453,55.514,44.1775
image_3301570138,4,4,21,3.8077,12.6821,1.9374,2.9523,2.948,1.2532,2.3523,1.5234,1.9043,2.5,3.4924,0.9298,0.084308,104.174,49.5479,46.9048
image_3301570899,1,1,1340,271.1501,246.0483,8.0304,10.6278,9.1863,6.7471,1.3615,8.0469,7.6445,10.0,14.9396,0.8234,0.070255,81.8497,91.0646,60.5466
image_3301570928,1,1,364,69.4275,97.2933,5.0993,6.466,5.8851,4.3674,1.3475,4.6875,5.4688,6.25,9.5364,0.8396,0.072345,89.9264,67.4,56.2191
image_3301570931,1,1,135,21.7941,49.1966,3.4656,5.5835,6.1893,2.5277,2.4485,3.9531,4.6719,2.5,6.6109,0.767,0.063159,101.6073,53.7492,50.4074
image_3301570938,1,1,1520,350.8004,293.3629,8.7503,11.3816,10.896,6.9962,1.5574,7.7344,10.3125,10.0,16.3147,0.8199,0.069816,90.2681,79.9191,86.2155
image_3301570952,1,1,1971,387.3004,331.2378,9.0438,11.8337,11.5721,7.5665,1.5294,8.7226,10.7051,8.75,16.3476,0.7757,0.064245,118.7981,87.761,40.7198
image_3301570979,1,1,373,78.4363,108.3014,5.311,7.5762,6.5537,4.6215,1.4181,5.7422,5.332,6.25,10.0233,0.8182,0.069593,137.7849,98.0933,55.506
image_3301571161,1,1,169,41.1598,66.6777,4.2838,5.3367,4.804,3.7707,1.274,4.4141,4.4141,3.75,7.2822,0.8646,0.075597,138.8287,99.0996,58.4541
image_3301574035,1,1,468,88.3736,124.3384,5.5264,8.5008,7.7875,4.4649,1.7442,5.4414,5.8301,7.5,10.9475,0.7717,0.06374,69.5997,87.4778,41.1298
image_3301574204,1,5,1235,180.3489,202.0972,7.0098,9.6675,9.2192,5.5215,1.6697,7.1777,9.5703,6.25,13.4972,0.7638,0.062773,101.8267,59.7176,44.8209
image_3301574204,2,5,354,51.6951,83.7968,4.6219,6.5121,5.7806,3.9563,1.4611,4.4434,5.4688,5.0,8.6401,0.8009,0.067392,104.5039,66.7875,46.0275
image_3301574204,3,5,122,17.8158,37.6102,3.2404,4.3954,4.0053,2.8,1.4305,2.7344,3.0762,3.75,5.568,0.8771,0.077241,105.8394,71.1974,47.2029
image_3301574204,4,5,613,89.5173,119.8586,5.5501,7.4835,6.6937,4.7337,1.414,5.4688,5.8105,6.25,10.1357,0.8074,0.068219,112.4401,83.2791,46.7476
image_3301574204,5,5,366,53.4475,81.4987,4.6735,6.0951,5.4363,4.2808,1.2699,4.4434,4.7852,5.0,8.2244,0.8419,0.072644,116.5462,86.8304,54.5594
image_3301574261,1,1,397,75.7217,102.4139,5.249,6.2128,5.7249,4.9364,1.1597,5.8594,5.0781,5.0,9.226,0.8452,0.07306,76.8606,89.4669,51.8766
image_3301574374,1,1,3635,728.422,596.1221,11.1634,23.3086,24.6162,7.8179,3.1487,12.8125,21.2207,11.25,27.2221,0.6568,0.050047,131.1939,91.0343,47.2603
image_3301575905,1,1,339,48.3797,81.3565,4.5209,6.6914,6.0065,3.427,1.7527,4.3926,5.0684,5.0,8.3656,0.7892,0.065929,63.3072,75.9926,51.0251
image_3301575982,1,13,3398,616.115,453.2075,10.5573,13.6727,12.6513,9.3195,1.3575,10.2832,12.1875,12.5,20.2615,0.7726,0.063858,130.9462,77.6501,53.5852
image_3301575982,2,13,62,11.2417,26.9899,2.7794,4.1212,3.8213,2.1179,1.8042,3.0469,2.2852,2.5,4.5558,0.8992,0.080173,134.9408,92.733,26.8548
image_3301575982,3,13,11842,2147.1554,1076.1281,16.0062,25.2652,25.9382,12.3935,2.0929,13.7109,16.3769,23.75,31.9414,0.7479,0.060823,140.8761,85.8061,40.5868
image_3301575982,4,13,3,0.544,2.6794,1.0128,1.4638,1.3907,0.0,,0.3809,1.1426,1.25,1.7358,1.2027,0.12402,134.0624,87.2167,45.0
image_3301575982,5,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,134.4432,87.9784,45.0
image_3301575982,6,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,134.8241,88.7401,45.0
image_3301575982,7,13,40,7.2527,19.8685,2.4016,3.4924,3.2506,1.9424,1.6735,1.9043,2.2852,2.5,3.8856,0.912,0.081894,137.4139,84.4269,21.75
image_3301575982,8,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,143.9647,78.8378,47.5
image_3301575982,9,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,144.3456,79.2187,47.5
image_3301575982,10,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,144.7264,79.5995,47.5
image_3301575982,11,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,145.4881,79.9804,47.5
image_3301575982,12,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,145.869,80.3612,47.5
image_3301575982,13,13,1,0.1813,0.6887,0.7022,1.25,0.0,0.0,,0.3809,0.3809,1.25,1.3611,2.2494,0.317231,146.6307,81.5038,47.5
image_3301581701,1,1,1079,199.6755,217.8833,7.2517,10.5369,10.0163,6.1281,1.6345,7.6953,8.4649,8.75,14.4026,0.7582,0.062085,71.2944,102.9718,55.278
image_3301581718,1,1,335,69.1101,99.4686,5.0915,6.7575,5.8376,4.7985,1.2165,5.2812,5.2812,6.25,9.7389,0.8188,0.069665,84.0925,78.0837,47.5784
image_3301581738,1,1,605,92.4337,117.0588,5.6098,7.413,6.6258,4.6386,1.4284,4.8945,5.2441,6.25,9.5142,0.8446,0.072983,101.8691,89.7825,63.4711
image_3301582488,1,3,76,14.934,39.4722,3.0553,5.4284,5.1162,1.7546,2.9159,3.5684,3.9648,3.75,6.5204,0.743,0.06022,83.4025,69.5829,41.2007
image_3301582488,2,3,399,78.4033,122.0483,5.3102,9.1234,9.5225,3.904,2.4391,5.5508,7.1367,6.25,10.9912,0.7258,0.058148,94.0989,53.5065,47.1742
image_3301582488,3,3,264,51.8759,77.6801,4.6272,5.9533,5.1355,4.2851,1.1985,4.3613,4.3613,5.0,7.9399,0.8659,0.075771,99.0084,44.5023,56.3352
image_4,1,2,90,16.1516,33.5637,3.1362,3.9474,3.6932,2.7236,1.356,3.0312,3.0312,2.5,4.9626,0.9206,0.083064,70.9901,91.1985,46.8194
image_4,2,2,676,121.3165,141.5082,6.142,8.3026,7.8002,5.276,1.4784,6.4414,6.4414,6.25,11.0474,0.8375,0.072069,80.7692,68.2289,44.6727
image_6,1,1,729,113.8822,142.9761,6.0138,7.595,6.7043,5.568,1.2041,5.6563,6.3633,6.25,10.5616,0.7947,0.066613,112.7081,89.9332,91.5758
image_7,1,1,1030,196.4569,199.7883,7.2126,9.7168,8.7297,6.4532,1.3528,7.4219,6.6406,8.75,13.2569,0.818,0.069568,59.5934,82.1515,35.2257
image_8,1,1,1512,279.8048,281.1554,8.1149,11.5972,11.038,6.0078,1.8373,6.541,10.7734,10.0,16.0889,0.7358,0.059352,83.2448,78.5811,52.691
